iter	Passed	Remaining
0	0	93
1	1	81
2	2	76
3	3	76
4	3	73
5	4	72
6	5	70
7	6	69
8	6	67
9	7	66
10	8	65
11	8	64
12	9	63
13	10	62
14	10	62
15	11	61
16	12	60
17	13	59
18	13	57
19	14	56
20	15	56
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
